Billing Country,Billing State,Browser,Created By,Device Brand,Device Type,Email Permission,Email Status,Email Status Reason,Event Type,Order Source,Order Status,Os,Os Version,Payment Method,Segment,Updated By,Discounted Price,Item Count,Quantity,Shipping,Total Amount,Unit Price
Unknown,Unknown,Chrome,-13,Generic_Android_Tablet,T,TRUE,A,Unknown,order,checkout,completed,Android,10,Bank Transfer or Bank Deposit,customer,-5,1156516,1000,1000,0,1016000,1620
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,P,HB,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,customer,-5,154500,9,4,0,959100,20500
NG,Lagos,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,17500,1,1,0,944500,16000
NG,Lagos,Chrome Mobile,-5,Nokia,M,TRUE,A,Unknown,order,checkout,completed,Android,9,Bank Transfer or Bank Deposit,customer,-5,54750,3,3,0,908600,16750
Unknown,Unknown,Chrome Mobile,-13,Samsung,M,TRUE,A,Unknown,order,checkout,completed,Android,10,Bank Transfer or Bank Deposit,customer,-5,18250,1,1,0,899200,16750
NG,Ondo,Chrome,-5,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,"contributor, customer",-5,37500,1,1,0,820000,34000
Unknown,Unknown,Chrome Mobile,-13,Infinix,M,TRUE,A,Unknown,order,checkout,completed,Android,9,Bank Transfer or Bank Deposit,customer,-5,17750,1,1,0,800000,16750
Unknown,Unknown,Chrome Mobile,-13,Nokia,M,TRUE,A,Unknown,order,checkout,completed,Android,9,Bank Transfer or Bank Deposit,customer,-5,500,3,3,0,776000,16750
Unknown,Unknown,Chrome Mobile,-31,Samsung,M,TRUE,A,Unknown,order,checkout,completed,Android,10,Pay with a Debit/Credit Card or Online with Bank,customer,-5,27500,2,2,0,767400,13000
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,customer,-5,15600,1,1,0,759500,15000
Unknown,Unknown,Unknown,-13,Unknown,Unknown,TRUE,P,HB,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,14500,1,1,0,733500,13000
NG,Rivers,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,57750,3,3,0,704400,18000
NG,Federal Capital Territory,Chrome Mobile,-5,Itel,M,TRUE,A,Unknown,order,checkout,completed,Android,9,Bank Transfer or Bank Deposit,customer,-5,18900,1,1,0,669000,18000
NG,Abia,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,34000,2,2,0,637950,15500
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,customer,-5,36500,2,2,0,630000,16750
NG,Ondo,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,18250,1,1,0,627500,17250
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,8,Bank Transfer or Bank Deposit,customer,-5,134250,6,5,0,622465,18000
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,customer,-5,3500,1,1,0,618200,3500
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,customer,-5,18250,1,1,0,618000,16750
NG,Niger,Unknown,-5,Unknown,Unknown,TRUE,P,HB,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,19200,1,1,0,614000,18000
NG,Rivers,Chrome Mobile,-5,Tecno,M,TRUE,A,Unknown,order,checkout,completed,Android,8,Pay with a Debit/Credit Card or Online with Bank,customer,-5,28500,2,2,0,585000,13000
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,P,HB,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,customer,-5,18000,1,1,0,583650,16750
Unknown,Unknown,Chrome Mobile,-13,Itel,M,TRUE,A,Unknown,order,checkout,completed,Android,8,Bank Transfer or Bank Deposit,customer,-5,500,12,3,0,565000,2000
NG,Delta,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,14000,1,1,0,540000,13000
NG,Ogun,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Unknown,customer,-5,0,1,1,0,523365,3500
NG,Ogun,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,127750,7,7,0,494000,17250
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,customer,-5,101000,1,1,0,481000,74500
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,customer,-5,565000,60,60,0,480000,7100
Unknown,Unknown,Mobile Safari,-13,Apple,M,TRUE,A,Unknown,order,checkout,completed,iOS,14,Pay with a Debit/Credit Card or Online with Bank,customer,-5,500,5,5,0,467800,17550
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,8,Bank Transfer or Bank Deposit,customer,-5,464800,2,2,0,466500,230000
NG,Delta,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,18500,1,1,0,464800,17500
NG,Lagos,Unknown,-5,Unknown,Unknown,TRUE,P,HB,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,128000,58,6,0,462000,1600
NG,Federal Capital Territory,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,183000,2,2,0,462000,72000
NG,Federal Capital Territory,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,38800,2,2,0,460600,18500
Unknown,Unknown,Chrome Mobile,-5,Infinix,M,TRUE,A,Unknown,order,checkout,completed,Android,8,Pay with a Debit/Credit Card or Online with Bank,customer,-5,1000,7,2,0,460000,17500
Unknown,Unknown,Mobile Safari,-13,Apple,M,TRUE,A,Unknown,order,checkout,completed,iOS,13,Pay with a Debit/Credit Card or Online with Bank,customer,-5,45500,2,2,0,453500,20750
NG,Lagos,Chrome Mobile,-5,Samsung,M,TRUE,A,Unknown,order,checkout,completed,Android,9,Pay with a Debit/Credit Card or Online with Bank,customer,-5,20000,1,1,0,452700,18500
Unknown,Unknown,Chrome,-31,Unknown,D,TRUE,P,HB,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,customer,-5,3500,1,1,0,447500,3500
NG,Delta,Chrome Mobile,-5,Huawei,M,TRUE,A,Unknown,order,checkout,completed,Android,8,Bank Transfer or Bank Deposit,customer,-5,17000,10,10,0,440000,1700
Unknown,Unknown,Edge,-31,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,customer,-5,1000,21,21,0,438750,18500
Unknown,Unknown,Chrome Mobile,-31,Generic_Android,M,TRUE,A,Unknown,order,checkout,completed,Android,8,Pay with a Debit/Credit Card or Online with Bank,customer,-5,100000,5,5,0,431500,18500
NG,Ogun,Chrome Mobile,-31,Generic_Android,M,TRUE,A,Unknown,order,checkout,completed,Android,5,Bank Transfer or Bank Deposit,customer,-5,21500,1,1,0,430000,20500
NG,Ondo,Chrome Mobile,-5,Infinix,M,TRUE,A,Unknown,order,checkout,completed,Android,10,Pay with a Debit/Credit Card or Online with Bank,customer,-5,27760,2,1,0,430000,18500
NG,Anambra,Chrome Mobile,-5,Tecno,M,TRUE,A,Unknown,order,checkout,completed,Android,8,Pay with a Debit/Credit Card or Online with Bank,customer,-5,39500,2,2,0,429750,18500
Unknown,Unknown,Chrome,-31,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Pay with a Debit/Credit Card or Online with Bank,customer,-5,3500,1,1,0,426012,3500
Unknown,Unknown,Chrome Mobile,-13,Tecno,M,TRUE,A,Unknown,order,checkout,completed,Android,8,Bank Transfer or Bank Deposit,customer,-5,18000,1,1,0,425250,18500
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,customer,-5,1000,4,4,0,422500,79500
Unknown,Unknown,Chrome Mobile,-13,Nokia,M,TRUE,A,Unknown,order,checkout,completed,Android,10,Bank Transfer or Bank Deposit,customer,-5,38800,10,10,3800,421400,3500
NG,Federal Capital Territory,Opera Mobile,-5,Tecno,M,TRUE,A,Unknown,order,checkout,completed,Android,11,Bank Transfer or Bank Deposit,customer,-5,15400,1,1,0,420000,14500
