Order Status (Dummy) ,Segment (Dummy),Total Amount,Unit Price
1,2,29000,3500
1,2,29000,18000
1,2,28900,28000
1,2,28800,185000
1,2,28800,36000
1,2,28500,36750
1,2,28400,43700
1,2,28200,15000
1,2,28200,13500
1,2,28000,1200
1,2,27800,11500
1,2,27800,14000
1,2,27800,15750
1,2,27760,19000
1,2,27500,19000
1,2,27500,3000
1,2,27300,11150
1,2,27200,2650
1,2,27150,16000
1,2,27000,20500
1,2,27000,16000
1,2,27000,19750
1,2,27000,26500
1,2,27000,7200
1,2,26970,8200
1,2,26800,79500
1,2,26650,20500
1,2,26600,2900
1,2,26500,7200
1,2,26500,2900
1,2,26250,19500
1,2,26200,4270
1,2,26100,4470
1,2,26000,1620
1,2,26000,1550
1,1,26000,17000
1,1,26000,50000
1,2,26000,13500
1,2,26000,12000
1,2,25970,3000
1,2,25800,4900
1,2,25700,850
1,1,25650,1200
1,1,25500,20250
1,2,25500,2350
1,1,25500,12000
1,1,25500,5200
1,1,25250,16500
1,1,25250,17000
1,1,25250,20000
1,1,25000,36000
1,1,25000,579000
1,1,25000,84500
1,1,24950,36000
1,1,24900,12000
1,1,24750,14500
1,1,24700,14500
1,1,24600,14500
1,1,24500,14500
1,1,24500,14500
1,1,24500,14000
1,1,24500,14500
1,1,24250,15000
1,1,24250,14000
1,1,24250,16500
1,1,24130,18250
1,1,24000,36000
1,1,23900,4350
1,1,23900,18000
1,1,23700,1500
1,1,23700,4500
1,1,23500,5050
1,1,23300,14250
1,1,23250,17500
1,1,23200,24000
1,1,23050,11500
1,1,23000,12000
1,1,23000,3000
1,1,23000,50000
1,1,22760,1590
1,1,22750,14000
1,1,22750,1500
1,1,22700,15750
1,1,22650,23000
1,1,22500,18500
1,1,22400,14500
1,1,22250,19250
1,1,22000,3270
1,1,22000,3000
1,1,22000,1200
1,1,22000,17000
1,1,22000,20250
1,1,22000,3192
1,1,22000,9850
1,1,21800,18500
1,1,21750,18500
1,1,21750,1200
1,1,21750,11450
1,1,21700,9400
1,1,21700,5040
1,1,21500,500
1,1,21500,1550
1,1,21500,1550
1,2,21500,13500
1,2,21500,15500
1,2,21500,16000
1,2,21500,17750
1,2,21200,19000
1,2,21200,24000
1,2,21150,12000
1,2,21000,14500
1,2,21000,35250
1,2,21000,17750
1,2,21000,19000
1,2,21000,9500
1,2,21000,22500
1,2,21000,15750
1,2,20800,16500
1,2,20750,18750
1,2,20550,19000
1,2,20500,19500
1,2,20500,21500
1,2,20500,3350
1,2,20500,6500
1,2,20500,15000
1,2,20500,250
1,2,20450,1620
1,1,20300,23000
3,1,20300,3750
3,1,20250,20750
4,1,20250,260
4,1,20200,18500
4,1,20200,14500
4,1,20150,17000
4,2,20100,7300
1,2,20000,3000
1,2,20000,22000
2,1,20000,12500
2,1,20000,14500
2,2,20000,16000
2,2,20000,21000
2,2,20000,20250
2,1,19800,14500
2,1,19750,32
2,1,19750,14750
2,1,19750,75000
2,1,19750,18500
2,1,19700,14000
2,2,19500,11750
2,1,19500,13500
2,1,19500,14750
2,1,19500,20000
1,1,19500,3500
1,1,19400,15000
1,1,19250,15500
1,1,19250,18250
1,1,19250,32500
1,1,19250,17500
1,1,19250,11750
1,1,19250,80000
1,1,19250,12000
1,1,19250,15750
1,1,19200,500
1,1,19200,700
1,1,19150,500
1,1,19000,15750
1,2,19000,1300000
1,2,19000,1200
1,2,19000,19000
1,2,19000,14000
1,2,19000,13500
1,2,18950,17500
1,2,18900,22500
1,2,18900,75000
1,2,18900,15000
1,2,18800,20250
1,2,18750,3000
1,2,18750,14500
1,1,18700,5000
1,2,18550,15000
1,2,18500,35000
1,1,18500,24000
1,1,18500,39750
1,1,18500,20250
1,2,18500,16500
1,1,18500,1200
1,1,18250,2400
1,1,18250,13500
1,1,18250,3500
1,2,18250,18700
1,2,18250,18500
1,2,18250,16500
1,2,18200,14000
1,1,18000,2000
1,1,18000,36000
1,1,18000,13500
1,1,18000,14000
1,1,17850,12000
1,1,17750,19000
1,1,17750,3000
1,1,17750,32
1,1,17750,15000
1,1,17750,11750
1,1,17700,14000
1,2,17600,51500
1,2,17500,14500
1,2,17500,12250
1,1,17500,10500
1,1,17500,16000
1,1,17500,14500
1,1,17500,11750
1,1,17500,14250
1,1,17500,14000
1,1,17400,14500
1,1,17250,19000
1,1,17250,14500
1,1,17250,16500
1,1,17250,18500
1,2,17250,19500
1,2,17250,16000
1,2,17250,3000
1,2,17250,14000
1,2,17200,22500
1,2,17050,16000
1,2,17000,19000
1,2,17000,3000
1,1,17000,14250
1,1,17000,15750
1,1,17000,20250
1,1,17000,12000
1,1,17000,68000
1,1,17000,14000
1,2,17000,20500
1,1,16950,15500
1,2,16900,67600
1,2,16830,9000
3,1,16800,84500
3,1,16800,18750
3,1,16750,11150
4,1,16750,12500
4,1,16700,15750
1,2,16700,65000
1,2,16650,19750
1,1,16500,1500
1,2,16500,18500
1,2,16500,36000
1,2,16500,24450
1,2,16500,8200
1,1,16500,2400
1,1,16500,20500
1,1,16300,18250
1,1,16250,2400
1,1,16250,2500
1,1,16250,10500
1,1,16200,11750
1,1,16200,16500
1,1,16200,95000
1,1,16000,37500
1,1,16000,14500
1,2,16000,13500
1,2,16000,2500
1,2,16000,4750
1,2,16000,8200
1,2,16000,500
1,2,15900,19000
1,1,15750,83000
3,1,15750,11500
1,1,15750,3500
1,1,15750,19500
1,1,15750,15000
1,1,15700,14000
1,1,15600,14750
1,1,15500,3900
1,2,15500,14000
1,2,15500,19500
1,2,15500,20500
1,2,15500,40000
1,2,15500,16000
1,2,15500,2650
1,2,15400,1200
1,1,15400,3000
1,2,15350,19000
1,2,15250,17000
1,1,15250,14750
1,2,15250,12250
1,1,15250,12500
1,1,15200,8000
1,1,15150,11500
1,1,15100,11500
1,2,15000,15000
1,1,15000,23500
1,1,15000,17000
1,1,15000,18000
1,1,15000,650
1,1,15000,1200
1,1,15000,14500
1,1,15000,18000
1,1,15000,1250
1,2,15000,14500
1,2,15000,4200
1,2,15000,15750
1,2,14900,18000
1,2,14900,20250
1,2,14900,25000
1,1,14800,11500
1,1,14795,19000
1,1,14750,2000
1,1,14750,3000
3,1,14750,94000
3,2,14750,19750
4,2,14750,100
1,2,14750,15750
1,2,14750,6100
1,2,14750,11750
1,2,14600,15750
2,3,14600,11100
1,2,14580,16000
1,2,14500,17500
1,2,14500,19000
1,2,14500,11750
1,2,14500,1700
1,2,14500,17500
1,3,14500,15750
1,3,14400,315000
1,3,14400,51250
1,3,14250,15500
1,3,14250,5400
1,3,14250,15000
1,3,14250,2500
1,2,14200,14750
3,2,14200,12250
3,3,14120,3500
4,2,14000,600
2,2,14000,9500
2,2,14000,16500
2,2,13750,14500
