Billing Country (Dummy),Billing State (Dummy),Browser (Dummy),Created By (Dummy),Device Brand (Dummy),Device Type (Dummy),Email Status (Dummy),Event Type (Dummy),Order Source (Dummy),Order Status (Dummy) ,Os (Dummy),Os Version (Dummy),Payment Method (Dummy),Segment (Dummy),Updated By (Dummy),Discounted Price,Item Count,Quantity,Shipping,Total Amount,Unit Price
2,3,1,2,1,1,2,2,2,1,1,1,2,2,1,38800,2,2,0,460600,18500
1,1,3,2,3,2,2,2,2,1,2,3,3,2,1,1000,7,2,0,460000,17500
1,1,4,1,4,2,2,2,2,1,4,4,3,2,1,45500,2,2,0,453500,20750
2,4,3,2,4,2,2,2,2,1,2,4,3,2,1,20000,1,1,0,452700,18500
1,1,2,3,1,3,3,2,2,1,3,2,2,2,1,3500,1,1,0,447500,3500
2,4,3,2,4,2,2,2,2,1,2,3,2,2,1,17000,10,10,0,440000,1700
1,1,4,3,1,3,2,2,2,1,3,2,2,2,1,1000,21,21,0,438750,18500
1,1,3,3,4,2,2,2,2,1,2,3,3,2,1,100000,5,5,0,431500,18500
2,4,3,3,4,2,2,2,2,1,2,4,2,2,1,21500,1,1,0,430000,20500
2,4,3,2,3,2,2,2,2,1,2,2,3,2,1,27760,2,1,0,430000,18500
2,4,3,2,2,2,2,2,2,1,2,3,3,2,1,39500,2,2,0,429750,18500
1,1,2,3,1,3,2,2,2,1,3,2,3,2,1,3500,1,1,0,426012,3500
1,1,3,1,2,2,2,2,2,1,2,3,2,2,1,18000,1,1,0,425250,18500
1,1,2,1,1,3,2,2,2,1,3,2,2,2,1,1000,4,4,0,422500,79500
1,1,3,1,4,2,2,2,2,1,2,2,2,2,1,38800,10,10,3800,421400,3500
2,3,4,2,2,2,2,2,2,1,2,4,2,2,1,15400,1,1,0,420000,14500
2,2,4,2,4,2,2,2,2,1,4,4,2,2,1,420000,20,20,0,406400,19750
1,1,4,1,1,3,2,2,2,1,3,3,2,2,1,34100,1,1,0,402200,16500
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,119000,7,7,0,400000,14500
1,1,2,1,1,3,2,2,2,1,3,3,2,2,1,379000,40,40,0,390000,7100
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,80500,4,3,0,390000,13750
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,29050,3,3,0,389900,3400
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,14200,10,10,2200,388000,1200
2,4,4,2,2,2,2,2,2,1,2,3,3,2,1,175500,9,9,0,381500,18500
1,1,4,1,1,3,2,2,2,1,3,4,2,2,1,1000,32,1,0,379000,51500
2,4,3,2,3,2,2,2,2,1,2,4,2,2,1,23000,1,1,0,367500,21500
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,30500,11,11,0,357300,2500
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,207500,10,10,7500,355000,20000
2,4,3,2,3,2,2,2,2,1,2,2,2,2,1,210000,10,10,0,353000,20000
2,4,3,2,3,2,2,2,2,1,2,4,2,2,1,22760,1,1,0,341250,21500
2,4,2,2,1,3,3,2,2,1,3,3,2,2,1,45000,2,2,0,339000,21500
2,3,1,2,1,1,2,2,2,1,1,1,2,2,1,3900,1,1,0,336000,3000
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,42500,2,2,0,332500,19750
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,17000,10,10,0,331400,1700
1,1,2,3,4,4,2,2,2,1,2,3,2,2,1,18250,1,1,0,325400,17250
1,1,4,1,4,2,2,2,2,1,4,4,3,2,1,29108,3,1,0,325000,2400
1,1,3,3,4,2,2,2,2,1,2,4,3,2,1,500,3,3,0,315600,20750
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,21500,1,1,0,300000,20500
1,1,3,1,3,2,2,2,2,2,2,4,2,2,1,233000,1,1,0,296650,79500
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,7300,2,2,0,281400,2750
1,1,3,1,4,2,2,2,2,1,2,4,2,2,1,14795,1,1,0,276500,21500
2,4,3,2,4,2,2,2,2,1,2,4,2,2,1,227500,10,10,0,273300,21500
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,26200,3,1,0,270000,10000
1,1,4,1,4,2,3,2,2,1,4,4,2,2,1,1000,30,30,0,267800,19000
1,1,3,1,4,2,2,2,2,1,2,2,3,2,1,21500,1,1,0,265800,20000
1,1,2,1,1,3,2,2,2,1,3,2,2,2,1,41000,1,1,0,264000,35000
1,1,2,1,1,3,2,2,2,1,3,2,2,2,1,45000,2,2,0,259000,21500
1,1,2,1,1,3,2,2,2,1,3,2,2,2,1,14120,1,1,0,254600,20500
2,3,3,2,3,2,2,2,2,1,2,3,2,2,1,3900,1,1,900,251800,3000
1,1,3,1,4,2,2,2,2,1,2,2,2,2,1,16000,1,1,0,247900,14500
2,4,4,2,4,2,2,2,2,1,2,2,2,2,1,23200,2,2,0,246600,9700
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,2000,2,2,0,239500,500
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,1155000,1,1,0,235150,1100000
1,1,2,1,4,4,2,2,2,1,2,2,2,2,1,1340790,74,30,0,234300,1950
1,1,1,3,1,1,2,2,2,1,1,1,2,1,1,82800,54,4,0,43200,1850
1,1,1,3,1,1,2,2,2,1,1,1,2,1,1,38000,25,5,0,43200,900
1,1,2,3,1,3,2,2,2,1,3,2,2,1,1,25500,1,1,0,43100,22000
1,1,2,3,1,3,2,2,2,1,4,1,3,1,1,22700,1,1,0,43100,20500
1,1,3,3,3,2,2,2,2,1,2,4,3,2,1,11300,3,3,0,43000,2500
1,1,3,1,4,2,2,2,2,1,2,2,2,2,1,500,1,1,0,43000,57000
1,1,3,1,2,2,2,2,2,1,2,3,3,1,1,24000,1,1,0,43000,23000
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,1795000,1000,1000,0,43000,1620
2,3,3,2,4,2,2,2,2,1,2,4,2,2,1,6820,2,2,1800,42800,18500
2,3,3,2,4,2,2,2,2,1,2,4,2,2,1,83860,4,4,0,42500,20500
1,1,1,3,1,1,2,2,2,2,1,1,2,2,1,79500,3,1,0,42500,18500
1,1,1,3,1,1,2,2,2,1,1,1,2,1,1,3000,1,1,0,42400,3000
1,1,1,3,1,1,2,2,2,1,1,1,2,2,1,51500,1,1,0,42350,51500
1,1,1,3,1,1,2,2,2,1,1,1,2,2,1,79500,3,1,0,42300,18500
1,1,1,3,1,1,2,2,2,1,1,1,2,3,1,81200,4,4,0,42250,19000
1,1,2,3,1,3,2,2,2,2,4,4,2,2,1,49500,3,3,0,42150,15000
1,1,2,3,1,3,2,2,2,1,4,4,2,2,1,93110,6,3,0,42000,14500
1,1,2,3,1,3,2,2,2,1,4,4,2,2,1,108000,6,3,0,42000,15500
1,1,2,3,1,3,2,2,2,1,4,4,2,2,1,500,5,5,0,42000,19500
1,1,2,3,1,3,2,2,2,1,3,2,2,1,1,2500,1,1,0,41800,2500
1,1,2,3,1,3,2,2,2,1,3,2,2,1,1,3000,1,1,0,41500,3000
1,1,2,3,1,3,2,2,2,1,3,2,2,1,1,1000,6,1,0,41500,42000
1,1,2,3,1,3,2,2,2,1,3,2,2,1,1,122000,110,30,0,41400,150
1,1,2,3,1,3,2,2,2,1,3,3,2,1,1,61800,1,1,0,41250,47000
1,1,2,3,1,3,2,2,2,1,3,3,2,1,1,54900,2,1,0,41000,1200
1,1,2,3,1,3,2,2,2,1,3,3,2,2,1,42800,1,1,0,41000,40000
1,1,2,3,1,3,2,2,2,1,3,3,2,2,1,221500,1,1,0,41000,200000
1,1,2,3,1,3,2,2,2,1,3,3,2,2,1,105250,5,5,0,41000,16750
1,1,2,3,1,3,2,2,2,4,3,3,2,2,1,51500,50,50,0,40500,600
2,4,2,3,1,3,2,2,2,1,3,2,2,3,1,12950,1,1,0,40500,10750
2,4,2,3,1,3,2,2,2,1,3,2,2,3,1,10800,1,1,0,40500,11000
2,4,2,3,1,3,2,2,2,1,3,2,2,3,1,16900,11,1,0,40500,7500
2,4,2,3,1,3,2,2,2,1,3,2,2,3,1,125800,12,2,0,40300,4750
2,4,2,3,1,3,2,2,2,1,3,2,2,3,1,49800,5,5,0,40150,7900
1,1,3,3,3,2,2,2,2,2,2,2,2,1,1,13000,1,1,0,40100,12000
1,1,3,3,4,2,2,2,2,2,2,2,2,1,1,23500,1,1,0,40000,20500
1,1,3,3,4,2,2,2,2,2,2,2,2,2,1,48500,4,1,0,40000,11500
1,1,3,3,4,2,2,2,2,2,2,4,2,1,1,2636000,12,12,0,39900,203000
1,1,4,3,4,2,2,2,2,2,4,4,2,1,1,32400,10,10,0,39800,1800
1,1,4,3,4,2,2,2,2,2,4,4,2,1,1,37100,12,12,0,39750,2500
1,1,4,3,4,2,2,2,2,2,4,4,2,1,1,49900,150,150,0,39750,190
1,1,3,3,4,2,2,2,2,1,2,2,2,1,1,10600,1,1,0,39700,10000
1,1,3,3,4,2,2,2,2,1,2,2,2,1,1,10600,1,1,0,39700,10000
1,1,3,3,4,2,2,2,2,1,2,2,2,1,1,59500,30,10,0,39600,450
